time_ps,rmsd_nm
2.0,0.3008495680245842
4.0,0.30620761570853117
6.0,0.36797387419756034
8.0,0.3728135189607694
10.0,0.35810011663800295
12.0,0.34840298242442724
14.0,0.39753020370100867
16.0,0.3825229800194985
18.0,0.3534934660830665
20.0,0.3372500455113187
22.0,0.34087630840929156
24.0,0.32099527434071423
26.0,0.3372284869497585
28.0,0.3330430420394927
30.0,0.3461297397782846
32.0,0.35266418727993865
34.0,0.36547266337572837
36.0,0.3710196352237599
38.0,0.36120498948104995
40.0,0.3201933255536861
42.0,0.3287785564937968
44.0,0.36736142112166664
46.0,0.3645580947197914
48.0,0.40751554112039173
50.0,0.4470191312235655
52.0,0.491749731740464
54.0,0.4977923424502663
56.0,0.4868143210673975
58.0,0.500503434663869
60.0,0.47050015837353865
62.0,0.4642063711353585
64.0,0.46795195969671893
66.0,0.4810106296571698
68.0,0.5115674927918018
70.0,0.4793584378507082
72.0,0.5106101987178039
74.0,0.5368854457110845
76.0,0.5444240551352153
78.0,0.5476603151574364
80.0,0.5920870964439806
82.0,0.5918186582250973
84.0,0.595951909817933
86.0,0.595882511632163
88.0,0.6181607898759055
90.0,0.581124992521236
92.0,0.5563311097270147
94.0,0.588140166882892
96.0,0.5822690931957746
98.0,0.5414361982398194
100.0,0.5503971811373695
