time_ns,z_nm
0.01,2.339333437195911
0.02,2.305516745277599
0.03,2.4611370606203327
0.04,2.554109880941058
0.05,2.5153148395947302
0.06,2.5215864511891892
0.07,2.533846911253734
0.08,2.4492254650816814
0.09,2.367993991409844
0.1,2.351872114717726
0.11,2.296815837166283
0.12,2.2457535268541493
0.13,2.075021317000115
0.14,2.013195379370836
0.15,2.0642671331841664
0.16,1.9217515715984108
0.17,1.9894343383703896
0.18,1.923674728269018
0.19,1.909801896401651
0.2,1.8029192700737162
